S. No,Zone. No,Div.No,UPHC Name,UPHC  Address
1,1,2,Kathivakkam,"No.3/392, Kathivakkam High Road, Ennore,Ch - 57 "
2,1,3,Ernavoor,"No.63 Block Tsunami Quarters, All India Nagar, Ernavoor,  Ch- 57"
3,1,4,Kuppam,"No.1,School Street, Jothi Nagar , Thiruvottiyur,  Ch -19"
4,1,11,Thiruvottiyur   ,"No.945, Thiruvottiyur High Road,Ch -19."
5,1,12,Sathangadu,"No.9A,Balakrishna Naidu Colony 2Nd Street, Kaladipet, Thiruvottiyur, Ch-19."
6,1,14,Thangal," No.3/2, Poongavanapuram, Kaladipet, Thiruvottiyur,          Ch - 19."
7,2,21,Manali  ,"No 1 Nedunchezian Salai, Manali Ch -68"
8,2,15,Manali New Town  ,"15T Main Road ,58Th Block, Manali New Town,     Ch -103"
9,3,22,Puzhal  ,"Gandhi Street , Puzhal . Ch - 66"
10,3,26,Madhavaram  ,"No 47, Swamy Nagar Madhavaram Ch - 60"
11,3,31,Kannabiran  ,"31 , Kannabiran Koil Street , Madhavaram . Ch - 60"
12,3,32,Lakshmipuram  ,"32 ,Gangai Amman Koil Street , Lakshmipuram, Ch - 99"
13,4,35,Kodungaiyur," No.15, Anna Salai, Kodungaiyur, Ch - 118"
14,4,36,"Vivekananda
 Nagar","No.39, Appar St, Vivekananda Nagar, Kodungaiyur, Ch - 118"
15,4,37,Vyasarpadi," No. 155A, 14Th Cross St, Mkb Nagar, Vyasarpadi, Ch - 39"
16,4,38,R.K.Nagar (N)," No.140, Annai Sandhya Nagar, 1St Street, Tondaiyarpet, Ch - 81"
17,4,47,"Harinarayana
Puram","Old Glass Factory Road, Korukkupet,             Ch-21, "
18,4,39,"New 
Washermenpet"," No.4, Chriyan Nagar 4Th St, New Washermenpet, Ch- 81"
19,4,40,Voc Nagar,"No.1, Chlliamman Koil St, Tondaiyarpet,       Ch - 81"
20,4,41,Korukkupet," No.15, Amman Koil St, Sivaji Nagar, Korukkupet, Ch - 21"
21,4,42,Jeeva Nagar ," No.602, T.H.Road, Tondaiyarpet, Ch- 81"
22,4,43,Tondiarpet ," Kasima Nagar 3Rd Street,Ch-13"
23,4,36,Sharma Nagar,"No.66,S.A.Colony,8Th Street,Vyasarpadi,Ch-39"
24,4,44,Perambur," No.100, Kamaraj Nagar 2nd St, Vyasarapadi, Ch - 11"
25,4,45,Elango Nagar," No.18, Dr. Ambedkar College Road, Vyasarpadi, Ch - 39"
26,4,45,"Sathiya
Moorthy Nagar","No.17,Sathyamoorthy Nagar Main Road,Vyasarpadi, Ch-39"
27,4,48,V.R.Nagar,"No.471,T.H. Road,Old Washermenpet,       Ch - 81"
28,5,49,Sanjeevarayanpet  ,"No.194, Solaiappar St, Ch- 21"
29,5,50,Grace Garden  ,"No.1, Venkatesan Street, Royapuram,         Ch-13. "
30,5,53,Kondithope  ,"No.60, Basin Bridge Road, Kondithope,         Ch-21."
31,5,54,P.K. Garden  ,"No.44, Walltax Road,Ch-79"
32,5,55,Seven Wells  ,"No.69, Amman Koil St, Ch - 1"
33,5,56,Brn Garden  ,"No.225, Broadway Road,Ch-1"
34,5,58,Perumalpet  ,"No.30,Kariappan St,Ch-7"
35,5,60,Harbour  ,"No.1, 4Th Lane Beach Road, Ch-01"
36,5,56,Amman Koil South  ,"No.8, Appu Maistry St, Ch- 1"
37,5,52,Ecr  ,"No.32, East Cementry Road, Ch- 21"
38,5,63,Pudupet  ,"No.22, Langs Garden St, Pudupet, Ch - 2"
39,5,62,Chinthathirpet     (Voluntary),"94 Cinganna Chtty Street Chindadhripet,     Ch-02"
40,5,58,Kadappa Rangaiyya     (Voluntary),"No.50, E.V.K Sampath Salai, Vepary,        Ch - 7,Hp
21 Kadappa Rangiya Street Periyamedu,      Ch-3"
41,6,64,Kolathur I,"Anjugam Nagar 3Rd Street Kolathur, Ch-99"
42,6,65,Kolathur II,"Srinivasa Nagar 3St, Ch-99. "
43,6,66,T.V.K.Nagar,"No:1 Pallavan Salai, Ch-11"
44,6,67,Agaram (S),No:9 Somiya St Agaram Ch-82.
45,6,68,Sembium,"No:238, Paper Mills Road ,Sembuim        Ch-11."
46,6,69,Siruvallur,"No:12 Kapilar St , Perambur Ch-11."
47,6,69,Nanagar (N),"No.43, Vasantha Garden Main St, Ayanavaram, Ch- 23"
48,6,73,Wadianagar," 
No:57, Cooks Road Ayanavaram Ch-23."
49,6,73,Pulianthope,"
No:40 Thruvengada Samy St Pulienthope Ch-12."
50,6,75,MMA Nagar,"
No:46 Subbraya 2Nd St, Nammalvarpet, Ch-12."
51,6,74,Thanthai Periyar,"
Chellappa Street Otteri Ch-12."
52,6,76,CS Nagar,"
No:1 Sachidhanandam St, Kosapet Ch-12."
53,6,77,K.P.Park,"
Demellows Road, Pulienthope Ch-112."
54,6,78,Choolai,No:23 Vijaya Vigneswarar Koil St Ch-112.
55,7,79,Oragadam  ,"No, 26, Gandhi High Road, Oragadam, Ambattur, Ch - 50"
56,7,80,Meenabedu  ,"No 1 Kvk Samy Street,Siddha Oragadam,Ambattur, Ch-53"
